1.4354 -0.9050
-1.0313 1.3081
-1.2495 0.5426
-1.4297 0.9728
0.8109 -1.2486
0.1166 0.5456
-1.3976 0.7335
-1.2795 1.2234
1.1692 -1.2841
0.1802 -0.7996
-0.6558 1.1530
1.2547 -0.5478
-1.4301 0.8396
-1.3473 0.6499
-1.1535 1.2894
-1.3794 1.1100
0.9627 -1.3024
1.3676 -1.1288
-0.2631 -0.4115
0.5801 -1.1009
-0.2614 0.8639
-0.8660 1.2745
1.3762 -0.6929
0.5888 0.1061
-1.4166 0.7828
-1.4354 0.9035
-1.3146 0.6103
-1.3739 0.6891
-1.2178 1.2629
-1.0905 1.3038
-1.4113 1.0423
-1.3347 1.1716
1.0583 -1.3072
0.8834 -1.2812
1.4200 -1.0153
1.2787 -1.2240
0.0046 -0.6535
-0.6784 -0.0197
0.7235 -1.1973
0.3805 -0.9554
-0.4788 1.0283
-0.0701 0.7094
-0.9416 1.2983
-0.7859 1.2349
1.3301 -0.6283
1.4155 -0.7795
0.3572 0.3242
0.8759 -0.1729
1.0081 -1.3075
1.1124 -1.3000
0.8476 -1.2666
0.9210 -1.2932
1.3988 -1.0729
1.4318 -0.9586
1.2252 -1.2589
1.3271 -1.1800
-0.9844 1.3054
-0.9025 1.2878
-0.7315 1.2023
-0.8283 1.2574
1.3536 -0.6585
1.3026 -0.5971
1.4297 -0.8370
1.3969 -0.7319
